Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
12 Suicidal Teens (2019),Japan,"The story is a locked-room mystery where 12 teenagers go into an abandoned hospital to give up on life. In the room where they meet, a boy is already lying dead, and no one knows who he is or who killed him. The boy is named ""No. 0"" by the group, as he was the first one to arrive, and they attempt to find his murderer. During their search, the reasons why they want to die are revealed one by one.

",Kuramochi Yutaka,"Takasugi Mahiro, Role: No. 1
Fuchino Yuto, Role: No. 2
Furukawa Kotone, Role: No. 3
Hashimoto Kanna, Role: No. 4
Mackenyu, Role: No. 5
Kuroshima Yuina, Role: No. 6","Mystery
 Psychological",7.6,2300,https://mydramalist.com//31308-12-suicidal-children
My Bromance: Reunion (2015),Thailand,A short film released to show events which took place before My Bromance 2. Edit Translation English Español magyar / magyar nyelv dansk,Romance,"Fluke Teerapat Lohanan, Role: Golf
Kim Worakamon Nokkaew, Role: Tar
Prince Naradon Namboonjit, Role: Tued",Romance,6.7,828,https://mydramalist.com//29888-my-bromance-reunion
ATM: Er Rak Error (2012),Thailand,"Sua and Jib are like any other couple in this world except for one exception: for the past five years, they have kept their relationship a secret since the bank where they are employed has a strict ""No Fraternization"" policy. It's not a big deal until they decide to get married. With neither willing to take the leap of faith, they both turn the incident into an opportunity when an ATM glitch in Chonburi province cashes out over $130,000 baht. The terms are simple: whoever is able to recover the money first gets to keep their job. The couple will turn into no-holds-barred competitors. Edit Translation English Español magyar / magyar nyelv dansk",Mez Tharatorn,"Ter Chantavit Dhanasevi, Role: Sua
Ice Preechaya Pongthananikorn, Role: Jib
Earth Thawat Pornrattanaprasert, Role: Peud
Fon Sananthachat Thanapatpisal, Role: Gob
Tui Puttachat Pongsuchat, Role: Sister Am 
Jack Chaleumpol Tikumpornteerawong, Role: Paed","Adventure
 Mystery
 Comedy
 Romance",8.0,1407,https://mydramalist.com//9884-atm-er-rak-error
Train Man: Densha Otoko (2005),Japan,"Computer engineer Otaku (the Japanese term for ""geek"") is an average young man, dressed in unstylish clothes and dorky glasses. But as luck would have it, he encounters a pretty young woman on a commuter train and saves her from a lecherous molester, falling in love with her at first sight.

A few days later he receives a thank-you message from the woman along with a set of Hermes teacups . Having never had a girlfriend or received a gift from a girl in his life , Otaku seeks out his pals on Internet Bulletin Board (BBS) website for advice using his codename Train Man (Denshi Otoko): ""How should I ask her out?"" Deeply interested in Train Man's first love, his BBS pals eagerly supply him with advice. Encouraged by their support, Train Man undergoes a total makeover for his first-ever date with ""Hermess."" Little does he know that he is about to ignite an Internet phenomenon .

",Kaneko Arisa,"Nakatani Miki, Role: Hermes
Yamada Takayuki, Role: [Train man]
Okada Yoshinori, Role: Yoshiga [Geek]
Sasaki Kuranosuke, Role: Hisashi [Michiko's husband]
Kimura Tae, Role: Michiko [Housewife]
Kuninaka Ryoko, Role: Rika [Nurse]","Comedy
 Romance",7.5,978,https://mydramalist.com//2469-train-man-densha-otoko
The Novelist: Playback (2021),Japan,"The last installment in the Pornographer franchise, it tells what happens with Kijima and Kuzumi when they enroll in a long distance relationship.

~~ Adapted from a manga of the same name. Edit Translation English 中文(台灣) Русский magyar / magyar nyelv",Miki Koichiro,"Takezai Terunosuke, Role: Kijima Rio
Izuka Kenta, Role: Kuzumi Haruhiko
Yoshida Munehiro, Role: Kido Shiro
Oishi Goro, Role: Kamoda Ikuo
Matsumoto Wakana, Role: Akemi Haruko
Okuno So, Role: Akemi Shizuo","Psychological
 Romance
 Drama",7.7,2503,https://mydramalist.com//69807-pornographer
Hotaru no Hikari: It's Only a Little Light in My Life (2012),Japan,"Set two years after ""Hotaru no Hikari 2"" drama series, Hotaru Amemiya learns that her manager (and now husband) Seichi Takano has a dream of vacationing with his loved one in Rome, Italy. Hotaru then plans for a trip to Rome.

",Yoshino Hiroshi,"Fujiki Naohito, Role: Takano Seiichi
Ayase Haruka, Role: Amemiya Hotaru
Tegoshi Yuya, Role: Saeki Yuu
Itaya Yuka, Role: Yamada Sachiko
Matsuyuki Yasuko, Role: Saeki Rio
Nakabeppu Aoi, Role: Sugishita Mana","Comedy
 Romance",7.2,1249,https://mydramalist.com//3451-hotaru-no-hikari-its-only-a-little-light-in-my-life
Tag (2015),Japan,"No men in sight, only women...and something unthinkable is girls killing girls! This is Sion Sono at his best and craziest! A film that depicts young women's fragile and sometimes dangerous emotional turbulence and their fear of being chased by the unknown.
Female highs school students, including Mitsuko, Keiko and Izumi, become the targets of ghosts with various appearances including a groom with a pig's face and female teacher with a machine gun. Edit Translation English Polski magyar / magyar nyelv dansk",Sono Sion,"Triendl Reina, Role: Mitsuko
Shinoda Mariko, Role: Keiko
Mano Erina, Role: Izumi
Takahashi Maryjun, Role: Jun
Sakurai Yuki, Role: Aki
Isoyama Sayaka, Role: Matsuko","Action
 Thriller
 Mystery
 Horror",6.7,1493,https://mydramalist.com//13316-the-chasing-world
GTO: The Movie (1999),Japan,"Eikichi Onizuka, who barely earned his teaching degree at a second-rate college, rolls into Horobonai, a small rural town in Northern Japan on his motorcycle to take a job as a substitute instructor.  Ever since the closing of the local theme park, Horobonai has fallen into an economic tailspin, and many of the town's teenagers have sunk into a deep depression. Onizuka, however, isn't the sort of person who respects the town's newly somber personality; willing to mouth off to both his students and his superiors, Onizuka isn't much of a teacher, but he knows how to get people interested, and soon his brash style (and willingness to kick a few butts) brings new life to Horobonai. Edit Translation English Русский Español magyar / magyar nyelv",Suzuki  Masayuki,"Sorimachi Takashi, Role: Onizuka Eikichi
Ukaji Takashi, Role: Kudo Masashi
Tanaka Rena, Role: Katsuragi Ayano
Kajihara Zen, Role: Tachibana Seiji
Tayama Ryosei, Role: Arashima Daigo
Anan Kenji, Role: Nishiyama","Comedy
 Youth",7.4,1042,https://mydramalist.com//2424-gto-the-movie
Inside Men (2015),South Korea,"An Sang Goo is a political hoodlum who takes dirty jobs from powerful people (carries out an array of underhanded schemes for corrupt politicians). When he becomes ruined, An Sang Goo plots his revenge after his downfall.

~~ Adapted from the webtoon by Yoon Tae Ho. Edit Translation English Português (Brasil) Español magyar / magyar nyelv",Woo Min Ho,"Lee Byung Hun, Role: Ahn Sang Goo
Cho Seung Woo, Role: Woo Jang Hoon 
Baek  Yoon Shik, Role: Lee Kang Hee [Editor-in-chief]
Lee Kyung Young, Role: Jang Pil Woo [Congressman]
Kim Hong Pa, Role: Oh Hyun Soo [President]
Bae Sung Woo, Role:  Park Jong Pal","Action
 Crime
 Drama
 Political",7.8,589,https://mydramalist.com//10373-inside-men
"My Love, My Bride (2014)",South Korea,"Young Min and Mi Young are a young couple who get married after graduating from college. Following the honeymoon period, they begin to bicker with each other. While waiting for her husband at a café one day, Mi Young bumps into her ex-boss. Young Min sees this and gets the wrong idea. As they struggle to make their marriage work, Young Min and Mi Young gradually understand what love really is.

",Lee Myung Se,"Jo Jung Suk, Role: Young Min
Shin Min Ah, Role: Mi Young 
Bae Sung Woo, Role: Dal Soo [Young Min's friend]
Lee Si Eon, Role: Gi Tae [Young Min's friend]
Ra Mi Ran, Role: [House owner]
Yoo Ha Joon, Role: Choi Sung Woo [Mi Young's first love]","Comedy
 Romance
 Drama
 Melodrama",7.2,3057,https://mydramalist.com//9237-my-love-my-bride-2014
Clover (2014),Japan,"Suzuki Saya is an ordinary employee working at a hotel. She falls in love with her elite boss Tsuge Susumu. Through their romance, Saya grows as a person. 

~~ Adapted from the manga “Clover"" (クローバー) by Chiya Toriko (稚野鳥子). Edit Translation English Português (Brasil) magyar / magyar nyelv dansk",Furusawa Takeshi,"Takei Emi, Role: Suzuki Saya
Okura Tadayoshi, Role: Tsuge Susumu
Mizusawa Erena, Role: Matsuzawa Ririka
Mitsuura Yasuko, Role: Kisaragi Sakurako 
Kamiji  Yusuke, Role: Yoshimichi Tsutsui
Kinami Haruka, Role: Tanigami Ichiyo","Comedy
 Romance",7.4,2989,https://mydramalist.com//10662-clover-2014
Miss Baek (2018),South Korea,"Small but tough Baek Sang Ah, known as Miss Baek, comes across a young girl, Ji Eun, a victim of domestic violence by her game-junkie father and his girlfriend. A lifetime of abandonment, abuse, and prejudice has taught Miss Baek how to shut others out, but she slowly opens up to Jieun she sees as a mirror of herself. When Ji Eun finally runs away from despairing violence Miss Baek whose sense of helplessness was pushing her to let Jieun go vows to fight for Ji Eun, even if it meant risking her own life.

",Thriller,"Han Ji Min, Role: Baek Sang Ah 
Kim Shi Ah, Role: Ji Eun
Lee Hee Joon, Role: Jang Seop
Kwon So Hyun, Role: Joo Mi Kyung
Baek Soo Jang, Role: Kim Il Gon
Jang Young Nam, Role: Jung Myung Sook","Thriller
 Drama",8.2,1816,https://mydramalist.com//22498-miss-baek
Fathers (2016),Thailand,"Phoon, 36, a finance and investment manager, and Yuke, 33, a graphic illustrator, have been in a serious relationship for 13 years. The couple has adopted an abandoned child named Butr since he was a baby. When the child goes into grade one at school, he is made fun of not having a mother by his school friends, which makes the once-specialty that he has two fathers undesirable. Consequently, the son begins to ask about his own mother, and that causes some discomfort to the fathers to answer. Following the advent of Rattiya, the director of the Children’s Right Protection Organization, everything in the family is changed. Her suggestions and the dig-up for Butr’s background causes even more tension to Phoon and Yuke. The couple doesn’t have so many options but to choose what is best for their son, even though they may be in despair. Edit Translation English magyar / magyar nyelv dansk Norsk",Romance,"Utt Uttsada Panichkul, Role: Phoon
Nat Sakdatorn, Role: Yuke
Nok Sinjai Plengpanich, Role: Ms. Rattiya
Him Raiwin Sirisatiensakul, Role: Butr
Lerwith Sangsith, Role: Tew
Kukkai Rangsima Mathipornwanich, Role: Nan","Romance
 Drama
 Family",7.8,2066,https://mydramalist.com//18736-fathers
After Sundown (2023),Thailand,"Set in 1961, Saengrawi Raemsawang lived with Luang Lung Janthakorn until he turns twenty-one and is sent to live at Sitthikornkan Castle in Phra Nakhon. The castle is owned by Phraphloeng, currently living abroad. 

Heading the words of a sage, Phloeng's parents urge him back to Thailand. About to turn twenty-five, a prophecy requires him to soon find his soulmate to secure his safety; they may not be a woman, nor born in Phra Nakhon.

Throughout his stay with Phloeng's family, Rawi is plagued by nightmares and haunted by a spirit. When he begins staying close to Phloeng, however, the spirit is quiet. It soon becomes clear that whatever is haunting the house is focused entirely on Rawi. 

",Jungjing Wanna Kortunyavat,"Zee Pruk Panich, Role: ""Phloeng"" Phraphloeng Sitthikornkan
NuNew Chawarin Perdpiriyawong, Role: ""Rawi"" Saengrawi Raemsawang
Nammon Krittanai Asanprakit, Role: Kraiphop
Namping Napatsakorn Pingmuang, Role: Phutson
Tubtim Anyarin Terathananpat, Role: Kannika
War Jirawat Vachirasarunpatra, Role: Luang Lung Janthakorn ","Horror
 Romance
 Supernatural",7.6,680,https://mydramalist.com//749777-dap-saengrawi
A Company Man (2012),South Korea,"Hyung Do wears a suit and a tie like any other white-collar worker, except his profession is murder. He is a professional contract killer - a hitman - loyal to his employer and regarded as the best in the business. But one day, to the surprise of his colleagues and his enemies, he suddenly decides to quit his job for a woman. Seen as the ultimate betrayal, Hyung Do is immediately hunted down by his former employers. Will he be able to escape with his life, much less with his love?

",Action,"So Ji Sub, Role: Ji Hyung Do
Lee Mi Yeon, Role: Yoo Mi Yun
Kwak Do Won, Role: Gwon Jong Tae
Kim Dong Jun, Role: Ra Hoon
Lee Kyung Young, Role: Department chief Ban Ji Hoon
Han Bo Bae, Role: Ra Bo Seul","Action
 Thriller
 Drama",7.6,3179,https://mydramalist.com//4008-a-company-man
"He Won't Kill, She Won't Die (2019)",Japan,"The drama revolves around the relationship between Rei Kosaka (a tsundere guy who easily gets worked up and who always says, ""Just die already"") and Nana Shikano (a girl who habitually cuts her wrists and who always says, ""I want to die."") Edit Translation English 中文(台灣) magyar / magyar nyelv dansk",Psychological,"Mamiya Shotaro, Role: Rei Kosaka
Sakurai Hinako, Role: Nana Kano
Yanai Yumena, Role: Nadeshiko Yamato
Yutaro, Role: Miyasada Yachiyo
Hotta Mayu, Role: Hotta Kyapiko
Tsunematsu Yuri, Role: Miyasada Jimiko","Psychological
 Romance
 Life
 Drama",7.7,1043,https://mydramalist.com//31956-the-boyfriend-who-can-t-kill-and-the-girlfriend-who-won-t-die
A Muse (2012),South Korea,"Lee Jeok Yo is a highly respected national poet in his 70s. His thirtysomething assistant Seo Ji Woo has recently published his first book, described as a genre novel with psychological insight, and it has shot to the top of the bestseller lists. Only later will it be clear how great his debt is to the poet laureate. On finding a young high school girl, Eun Gyo, asleep on a chair on his porch, Jeok Yo is instantly enamored and rather than chastising her for breaking into his property, he subsequently agrees to give her a part-time job cleaning his home. As Jeok Yo spends more time in Eun Gyo's company, long-lost feelings are awakened within him, and her exuberance, lust for life, sense of fun and genuine warmth towards him quickly strip the years away in his mind.

",Romance,"Park Hae Il, Role: Lee Juk Yo
Kim Mu Yeol, Role: Seo Ji Woo
Kim Go Eun, Role: Han Eun Gyo
Kang Deok Joong, Role: [Seo Ji Woo's junior]
Jung Man Shik, Role: President Park
Park Chul Hyun, Role: [Blondie]","Romance
 Drama
 Melodrama",7.1,2747,https://mydramalist.com//3532-a-muse
