Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Prom Pissawat (2020),2020,Thailand,"In this tale, unlikely destinies intertwine as God brings together two individuals from different corners of the world. Plapol, a man of both Korean and Thai heritage, grew up in Korea and escapes to Thailand, skeptical of his new stepmother's intentions toward his father's wealth. His distrust of women is rooted in the disappearance of his mother after divorcing his father during his youth. Fuelled by resentment, Plapol embarks on a journey to Thailand in search of his mother. There, in a bar, he encounters Pantawan, a charismatic singer adored by the men. Initially viewing her through a familiar lens, Plapol's misogynistic views clash with Pantawan's independent spirit. They clash, yet eventually, understanding blossoms into love. However, a revelation unravels their romance: Pantawan's mother is Plapol's new stepmother, introducing a new layer of complexity to their relationship.

",Kritsana Saengsoy,"Kitkong Khamkrith, Role: Plapol / ""Pol""
Pim Pimprapa Tangprabhaporn, Role: Pantawan / ""Pan""
Chingching Kharittha Sungsaopath, Role: Pattama / ""Pat""
Ann Siriam Pakdeedumrongrit, Role: Nunthita
Great Sapol Assawamunkong, Role: Arnon / ""Non""
Jeab Sopitnapa Chumpanee, Role: Rapeephorn / ""Pon""","Romance
 Drama",7.5,665,https://mydramalist.com/34176-prom-pissawat
Lovers in Bloom (2017),2017,South Korea,"Moo Goong Hwa is a former boxer. After the death of her husband, she has raised her daughter alone. She now works as a police officer.
Cha Tae Jin is an elite police officer who graduated from the police university. He is full of justice. ",Lee Hae Jung,"Im Soo Hyang, Role: Moo Goong Hwa
Do Ji Han, Role: Cha Tae Jin
Lee Chang Wook, Role: Jin Do Hyun
Lee Eun Hyung, Role: Moo Soo Hyuk
Nam Bo Ra, Role: Jin Bo Ra
Yoon Bok In, Role: Lee Sun Ok","Comedy
 Romance
 Melodrama",7.5,824,https://mydramalist.com/22928-lovers-in-bloom
Kamen Rider Build (2017),2017,Japan,"10 years ago, the “Pandora Box” was found on Mars. On Earth, it created walls that divided Japan into Touto (Eastern Capital), Hokuto (Northern Capital) and Seito (Western Capital) and brought along the Smash, unidentified life forms that attack people.
Sento Kiryu, prodigy physicist, transforms into Kamen Rider Build to fight the Smash.
The Touto government requests his help in deciphering the mystery behind the Pandora Box and the Smash. There is one mystery not even Sento can solve: his own past. The only memory he has left of more than 20 years is the existence of a sinister figure called Night Rogue. There is one man who holds the key to Sento’s memories: a prison escapee by the name of Ryuga Banjo, who adamantly denies committing the murder he is accused of. Misora Isurugi, who works with Sento, has the ability to purify the harmful components the Smash are made of.
Sento transforms into Kamen Rider Build in order to uncover the mystery surrounding the Pandora Box, the Smash, and his amnesia. ",Morota Satoshi,"Inukai Atsuhiro, Role: Sento Kiryu/Kamen Rider Build
Akaso Eiji, Role: Ryuga Banjou / Kamen Rider Cross-Z
Takada Kaho, Role: Misora Isurugi
Taki Yukari, Role: Sawa Takigawa
Takeda Kouhei, Role: Kazumi Sawatari/Kamen Rider Grease
Mikami Kensei, Role: Gentoku Himuro/Night Rogue/Kamen Rider Rogue","Action
 Tokusatsu
 Sci-Fi
 War",8.3,1329,https://mydramalist.com/24692-kamen-rider-build
Golden Empire (2013),2013,South Korea,"A power struggle between three people in one chaebol empire for 20 years from the turbulent era of Korean finance in the early 1990s to 2010s. Jang Tae Joo is a young man who fights to build up his so-called empire of gold from nothing after his father dies. In order to achieve his dream he marries Choi Seo Yoon, the chaebol heiress of Sung Jin Group. Sung Jin Group battle over ensures between Jang Tae Joo, Choi Seo Yoon and her older cousin Choi Min Jae. ",Jo Nam Gook,"Go Soo, Role: Jang Tae Joo
Son Hyun Joo, Role:  Choi Min Jae 
Lee Yo Won, Role: Choi Seo Yoon
Park Geun Hyung, Role: Choi Dong Sung 
Kwon Tae Won, Role: Jung Byeong Kook
Lee Won Jae, Role: Kim Kwang Se","Business
 Drama",7.4,639,https://mydramalist.com/6788-golden-empire
Money Game (2020),2020,South Korea,"Twenty years after the IMF's outbreak, the drama depicts the conflict between the head of the Financial Policy Bureau seeking to dispose of the Jungin Bank, which is on the verge of going bankrupt with a third of the government's shares, and the Chairman of Finance, who plans to hand over the bank to the Bahamas, a private equity fund on Wall Street.

Chae Yi Heon is an economic government official who hides the fact that he’s from a wealthy family in order to be acknowledged for his own abilities. Heo Jae is an ambitious chairman who will do anything it takes to reach his goals, while Lee Hye Jun is a young woman who’s new to the workforce but has passion and morality.

",Lee Young Mi,"Go Soo, Role: Chae Yi Heon
Lee Sung Min, Role: Heo Jae
Shim Eun Kyung, Role: Lee Hye Joon
Yoo Teo, Role: Eugene Han [Branch manager of Bahama New York]
Choi Deok Moon, Role: Gook Kyung Min [Director General of Financial Policy]
Choi Woong, Role: Han Sang Min [Level 5 Civil Servant of the International Finance Bureau]","Mystery
 Business
 Drama
 Political",7.9,612,https://mydramalist.com/34172-money-game
The Sound of Your Heart: Reboot (2018),2018,South Korea,"Webtoonist Cho Seok is back with more anecdotes of mix-ups, unintended antics, and bathroom blunders in this reboot starring an all-new cast.

~~ Adapted from the webtoon ""Maeumui Sori” by Jo Suk. ",Park Yeon Kyung,"Sung Hoon, Role: Jo Suk
Kwon Yu Ri, Role: Choi Ae Bong
Shim Hye Jin, Role: [Jo Suk's mother]
Joo Jin Mo, Role: [Jo Suk's father]
Tae Hang Ho, Role: Jo Joon
Ji Soo Won, Role: Ae Bong's mother","Comedy
 Family
 Sitcom",7.4,1070,https://mydramalist.com/26080-sound-of-your-heart-reboot-jerks
Only Kiss Without Love (2018),2018,China,"Xiao Bai Yu is the CEO of the Feng Sheng Department store. He is the illegitimate younger grandson of the Xiao family. He was made CEO when his elder half-brother Xiao Jun Jiang had an accident and Jun Jiang resents Bai Yu for this. Tong Tong is a reporter who inherited a strange disease from her father – once she kisses a mammal, she becomes a man within three minutes. One day, in order to change back to a woman, Tong Tong kisses Xiao Bai Yu in her male form, which starts rumours that Bai Yu is gay. To dispel the rumours, Bai Yu asks Tong Tong to pretend to be his girlfriend.

",Comedy,"Xu Li, Role: Tong Tong / He He
Shi Ming Ze, Role: Xiao Bai Yu
Zhang Jun Ran, Role: Xiao Jun Jiang
Luby Tang, Role: Hai Se Wei
Ye Xiao Kai, Role: Yin Hao Xi
Lu Shao Cong, Role: Tong Yan","Comedy
 Romance
 Fantasy",7.1,577,https://mydramalist.com/31191-only-kiss-without-love
The Sweet Girl (2020),2020,China,"A love story begins between two doppelgängers when the bold and daring heroine, Mi Jiu Er crosses paths with Luo Yin Ran, the owner the Yun Clothing Workshop and its chief costume designer. 
The Republican Era ushered in a wave of prosperity that impacted style with the introduction of beautiful and fancy designs. The Yun Clothing Workshop and Qin Manor Textiles are engaged in fierce competition to establish market dominance. 

Mi Jiu Er is a vivacious character who lives her life robbing the rich to aid the poor. While evading authorities, she encounters Lu Yi Ling, who looks just like her! Jiu Er poses as her in order to work at the Yun Clothing Workshop. The personality changes and hilarious mischief created by Yi Ling  don't go by unnoticed by Luo Yin Ran.  At first he is suspicious of her, guarding against her, only to find himself becoming attracted to her. 

Enter Pei Zhuo, son to the Shanghai Chamber of Commerce’s Head, who'll test their budding romance. ",Historical,"Sun Zu Jun, Role: Luo Yin Ran 
Jin Mei Chen, Role: Mi Jiu Er
Fan Xiao Dong, Role: Pei Zhuo
Hou Dong, Role: Su Yi
Lyan Zhang, Role: Qiao Yu Yan
Wang Zi Rui, Role: Lu Shui","Historical
 Comedy
 Romance",7.7,831,https://mydramalist.com/51213-the-sweet-girl
Hello Dear Ancestors (2018),2018,China,"During the Han Dynasty, Zhen Jun is driven off a cliff in a struggle for leadership of his family. Saved from plummeting to his death by a being from outer space, Zhen Jun is placed in a healing, deep sleep. In the year 2020, Zhen Jun wakes to find his prolonged sleep has granted him super human abilities. A time travel adventure now begins...
",Comedy,"Chen Zhe Yuan, Role: Zhen Jun
Dong Qing, Role: Zhen Ke Yi / Zhen Xiang
Dai Xiang Yu, Role: Si Luo / Yin Fei Luo [Gao Leng Ba Dao's astronaut] 
Wang Ting, Role: Meng Pian Ran / Zhen Fu
Tao Si Yuan, Role: Meng Ye Ran
Li Cai Hua, Role: Wu Qing","Comedy
 Romance
 Sci-Fi
 Fantasy",7.5,580,https://mydramalist.com/28855-hello-dear-ancestors
Kamen Rider Decade (2009),2009,Japan,"The story revolves around the nine previous universes of the Heisei Kamen Riders merging into one, something that would destroy all the worlds. To prevent this, Tsukasa Kadoya transforms into Kamen Rider Decade and is told that to protect his own world he must travel with Natsumi and her grandfather to the other Kamen Riders' Worlds called A.R. Worlds (Another Rider's World or Alternate Reality World) and eliminate the anomaly in that world. Along the way, confronting the mysterious Narutaki and the thief Daiki Kaito, they are joined by Yusuke Onodera of the World of Kuuga and Kivala of the World of Kiva.

",Tasaki Ryuta,"Inoue Masahiro, Role: Kadoya Tsukasa / Kamen Rider Decade
Mori Kanna, Role: Hikari Natsumi
Murai Ryota, Role: Onodera Yusuke / Kamen Rider (A.R.) Kuuga
Totani Kimito, Role: Kaitou Daiki / Kamen Rider Diend
Ishibashi  Renji, Role: Hikari Eijiro
Okuda Tatsuhito, Role: Narutaki","Action
 Adventure
 Tokusatsu
 Sci-Fi",7.3,1034,https://mydramalist.com/2548-kamen-rider-decade
Strawberry Night (2012),2012,Japan,"Assistant Inspector Himekawa Reiko rose from the non-career track to become the only female section chief in the Tenth Homicide Section of the Metropolitan Police’s First Investigative Division. Director Hashizume has been keeping tabs on her because of her daring investigation methods. Team Himekawa is made up of dutiful subordinates Kikuta Kazuo and Ishikura Tatsumo, the diligent but withdrawn Hayama Noriyuki and newcomer Yuda Kohei. They proceed with investigations while fighting against Teams Kusaka and Katsumata. Although Reiko has personal problems and past trauma, she does not bring this to the workplace. She tackles cases head-on and closes in on the truth with her sharp instincts. ",Ouki Shizuka,"Takeuchi Yuko, Role: Himekawa Reiko
Maruyama Ryuhei, Role: Yuda Kohei
Nishijima Hidetoshi, Role: Kikuta Kazuo
Watanabe Ikkei, Role: Hashizume Shunsuke
Toda Masahiro, Role:  Asakura Keigo
Takashima Masahiro, Role: Imaizumi Haruo","Mystery
 Drama",8.0,777,https://mydramalist.com/3142-strawberry-night-2012
"Please Remember, Princess (2013)",2013,South Korea,"In the romantic comedy 'Please Remember, Princess,' Sungyeol plays the character Gi Yeok, an engineering major who devotes all of his love in order to win over his ideal type Min Ah. Jihyun plays Min Ah, who is a dance major and in the drama club.  The drama will be based on the sensational story 'The Love Story of an Engineering Student.' ",Web Series,"Lee Sung Yeol, Role: Gi Yuk
Nam Ji Hyun, Role: Min Ah
Clara Lee, Role: Kim Yang
Jin Won, Role: Kim Cheol Soo","Comedy
 Romance
 Youth",7.1,1210,https://mydramalist.com/8350-please-remember-princess
Nobunaga no Chef (2013),2013,Japan,"French chef Ken travels back in time to the Sengoku period. Due to travelling through the timeslip, Ken has lost his memory but still retains his knowledge of fine cuisine. Thanks to his excellence in cuisine, Ken eventually becomes the chef of the powerful daimyo Nobunaga Oda.

~~ Adapted from the manga series ""Nobunaga no Chef"" (信長のシェフ) written by Nishimura Mitsuru (西村ミツル) and illustrated by Kajikawa Takuro (梶川卓郎). ",Fukasawa Masaki,"Tamamori Yuta, Role: Ken
Oikawa Mitsuhiro, Role: Oda Nobunaga
Shida Mirai, Role: Natsu
Gori, Role: Toyotomi Hideyoshi
Ashina Sei, Role: Kaede
Ichikawa Ennosuke IV, Role: Kosa / Hongan-ji Kennyo","Food
 Historical
 Fantasy",7.3,894,https://mydramalist.com/5971-nobunaga-no-chef
Love After School (2017),2017,South Korea,"A love story often begins after a few jokes ... 

Hoo Se In and Bang Myung Rok  are in moderation class. Myung Rok decides to play Se In, who ridicules himself in front of the whole class. They begin, after this incident, to approach and leave together. But Jo Ye Rin, in love with Myeong Rok, spreads a rumor about Se In, which causes him to leave Myung Rok.  

Five years later, Se In, still in love with him, decides to reconnect with Myung Rok. Can your relationship resume where you left off?

",Romance,"Park So Eun, Role: Hoo Se In
Yoo Jung Woo, Role: Bang Myung Rok
Gye Ye Rin, Role: Jo Ye Rin","Romance
 Youth
 Drama",7.8,990,https://mydramalist.com/27387-love-after-school
"I Summon You, Gold! (2013)",2013,South Korea,"Although Jung Mong Hee's dream is to become a jewelry designer, she makes a living by peddling cheap fake accessories in the street. She endures the muggy weather out on the street to help pay for her siblings' tuition. As the eldest in her family, she feels responsible for helping with the family finances. Then one day, Mong Hee is offered a tantalizing proposal that could change her life. She decides to seize a surprising opportunity, considering it as a process that will bring her closer to reaching her goals.

",Lee Hyung Sun,"Han Ji Hye, Role: Jung Mong Hee / Yoo Na
Yeon Jung Hoon, Role: Park Hyun Soo
Baek Jin Hee, Role: Jung Mong Hyun
Park Seo Joon, Role: Park Hyun Tae
Kim Hyung Jun, Role: Jung Mong Kui 
Lee Tae Sung, Role:  Park Hyun Joon","Business
 Romance
 Family",7.1,915,https://mydramalist.com/6613-i-summon-you-gold
